Classifier,Year,Accuracy,Precision,Recall,F1,AUC,PR-AUC,TP,TN,FP,FN,fittime,predtime,scotime
DT,1998,0.999,0.199,0.719,0.312,0.141,0.156,41,325293,165,16,11.939,0.039,10.999
RF,1998,1.0,0.868,0.807,0.836,0.0,0.902,46,325451,7,11,86.229,0.833,10.739
LR,1998,1.0,0.702,0.579,0.635,0.0,0.664,33,325444,14,24,36.53,0.035,11.056
MLPC,1998,1.0,1.0,0.561,0.719,0.001,0.672,32,325458,0,25,202.872,1.606,10.491
NB,1998,0.98,0.007,0.772,0.013,0.015,0.008,44,318984,6474,13,1.933,0.05,10.479
SVM-linear,1998,1.0,1.0,0.561,0.719,0.999,0.0,32,325458,0,25,586.376,0.018,10.131
DT,1999,0.999,0.219,0.754,0.34,0.123,0.173,43,325305,153,14,12.856,0.049,10.63
RF,1999,1.0,0.878,0.754,0.811,0.0,0.873,43,325452,6,14,77.029,0.82,10.213
LR,1999,1.0,0.702,0.579,0.635,0.0,0.666,33,325444,14,24,37.999,0.033,9.956
MLPC,1999,1.0,1.0,0.561,0.719,0.0,0.704,32,325458,0,25,217.758,1.434,9.567
NB,1999,0.98,0.007,0.772,0.013,0.015,0.008,44,318983,6475,13,1.729,0.049,9.549
SVM-linear,1999,1.0,1.0,0.561,0.719,0.999,0.0,32,325458,0,25,503.166,0.016,9.952
DT,2000,0.999,0.197,0.649,0.302,0.176,0.133,37,325307,151,20,9.735,0.038,10.098
RF,2000,1.0,0.918,0.789,0.849,0.0,0.904,45,325454,4,12,72.532,0.831,10.02
LR,2000,1.0,0.733,0.579,0.647,0.0,0.664,33,325446,12,24,37.252,0.05,10.009
MLPC,2000,1.0,1.0,0.561,0.719,0.001,0.691,32,325458,0,25,197.901,1.163,9.663
NB,2000,0.98,0.007,0.772,0.013,0.015,0.008,44,318982,6476,13,1.718,0.049,9.654
SVM-linear,2000,1.0,1.0,0.561,0.719,0.999,0.0,32,325458,0,25,505.433,0.007,9.981
DT,2001,1.0,0.203,0.614,0.306,0.185,0.134,35,325321,137,22,9.61,0.037,10.036
RF,2001,1.0,0.827,0.754,0.789,0.0,0.912,43,325449,9,14,70.053,0.83,10.06
LR,2001,1.0,0.75,0.579,0.653,0.0,0.665,33,325447,11,24,37.031,0.026,10.031
MLPC,2001,1.0,0.829,0.596,0.694,0.001,0.668,34,325451,7,23,231.081,1.438,9.606
NB,2001,0.98,0.007,0.772,0.013,0.015,0.008,44,318982,6476,13,1.725,0.051,9.568
SVM-linear,2001,1.0,1.0,0.561,0.719,0.999,0.0,32,325458,0,25,493.044,0.009,10.156
DT,2002,1.0,0.223,0.614,0.327,0.193,0.142,35,325336,122,22,9.696,0.039,10.077
RF,2002,1.0,0.885,0.807,0.844,0.0,0.923,46,325452,6,11,74.29,0.82,10.147
LR,2002,1.0,0.75,0.579,0.653,0.0,0.665,33,325447,11,24,39.726,0.03,10.159
MLPC,2002,1.0,1.0,0.509,0.674,0.007,0.626,29,325458,0,28,208.707,1.283,9.846
NB,2002,0.98,0.007,0.772,0.013,0.016,0.008,44,318981,6477,13,1.763,0.051,9.805
SVM-linear,2002,1.0,1.0,0.561,0.719,0.998,0.0,32,325458,0,25,510.765,0.007,10.135
DT,2004,1.0,0.219,0.579,0.317,0.202,0.138,33,325340,118,24,9.725,0.039,10.146
RF,2004,1.0,0.875,0.737,0.8,0.0,0.914,42,325452,6,15,65.268,1.083,10.079
LR,2004,1.0,0.767,0.579,0.66,0.0,0.667,33,325448,10,24,33.954,0.024,10.278
MLPC,2004,1.0,1.0,0.561,0.719,0.0,0.689,32,325458,0,25,170.851,1.53,10.073
NB,2004,0.98,0.007,0.772,0.013,0.016,0.008,44,318977,6481,13,1.827,0.056,10.11
SVM-linear,2004,1.0,1.0,0.561,0.719,0.999,0.0,32,325458,0,25,504.992,0.008,10.129
DT,2006,1.0,0.222,0.649,0.33,0.167,0.16,37,325328,130,20,8.669,0.037,10.187
RF,2006,1.0,0.872,0.719,0.788,0.0,0.914,41,325452,6,16,66.913,1.059,10.069
LR,2006,1.0,0.825,0.579,0.68,0.0,0.672,33,325451,7,24,37.343,0.02,10.145
MLPC,2006,1.0,0.0,0.0,0.0,0.483,0.027,0,325458,0,57,182.258,1.53,9.79
NB,2006,0.98,0.007,0.772,0.013,0.016,0.008,44,318974,6484,13,1.713,0.048,9.735
SVM-linear,2006,1.0,1.0,0.561,0.719,0.999,0.0,32,325458,0,25,512.362,0.007,9.989
DT,2008,1.0,0.306,0.579,0.4,0.211,0.193,33,325383,75,24,8.416,0.05,10.046
RF,2008,1.0,0.891,0.719,0.796,0.0,0.921,41,325453,5,16,62.04,1.16,10.001
LR,2008,1.0,0.865,0.561,0.681,0.0,0.674,32,325453,5,25,42.651,0.023,9.984
MLPC,2008,1.0,1.0,0.561,0.719,0.012,0.606,32,325458,0,25,182.723,1.481,9.563
NB,2008,0.98,0.007,0.772,0.013,0.016,0.008,44,318977,6481,13,1.668,0.049,9.622
SVM-linear,2008,1.0,1.0,0.561,0.719,0.999,0.0,32,325458,0,25,474.477,0.009,9.9
DT,2010,1.0,0.245,0.632,0.353,0.185,0.161,36,325347,111,21,7.844,0.033,10.032
RF,2010,1.0,0.833,0.702,0.762,0.0,0.905,40,325450,8,17,61.503,0.719,10.029
LR,2010,1.0,0.865,0.561,0.681,0.0,0.671,32,325453,5,25,36.004,0.031,9.911
MLPC,2010,1.0,1.0,0.561,0.719,0.001,0.626,32,325458,0,25,155.392,1.417,9.485
NB,2010,0.98,0.007,0.772,0.013,0.016,0.008,44,318980,6478,13,1.693,0.05,9.506
SVM-linear,2010,1.0,1.0,0.561,0.719,0.999,0.0,32,325458,0,25,457.489,0.012,9.974
DT,2011,1.0,0.333,0.596,0.428,0.202,0.214,34,325390,68,23,6.944,0.033,9.983
RF,2011,1.0,0.837,0.719,0.774,0.0,0.92,41,325450,8,16,55.198,1.023,9.954
LR,2011,1.0,0.892,0.579,0.702,0.0,0.673,33,325454,4,24,30.842,0.03,10.1
MLPC,2011,1.0,0.492,0.561,0.525,0.001,0.585,32,325425,33,25,171.374,1.208,9.761
NB,2011,0.98,0.007,0.772,0.013,0.016,0.008,44,319017,6441,13,1.606,0.049,9.752
SVM-linear,2011,1.0,1.0,0.561,0.719,0.999,0.0,32,325458,0,25,436.439,0.024,9.952
DT,2012,1.0,0.234,0.632,0.341,0.176,0.159,36,325340,118,21,6.225,0.031,9.895
RF,2012,1.0,0.875,0.737,0.8,0.0,0.924,42,325452,6,15,49.325,0.964,9.888
LR,2012,1.0,0.892,0.579,0.702,0.0,0.674,33,325454,4,24,27.752,0.023,10.153
MLPC,2012,1.0,1.0,0.561,0.719,0.002,0.63,32,325458,0,25,153.181,1.179,9.688
NB,2012,0.981,0.007,0.772,0.014,0.016,0.008,44,319144,6314,13,1.463,0.049,9.68
SVM-linear,2012,1.0,1.0,0.561,0.719,0.999,0.0,32,325458,0,25,381.397,0.008,9.987
DT,2013,1.0,0.322,0.684,0.438,0.149,0.23,39,325376,82,18,4.981,0.031,9.91
RF,2013,1.0,0.909,0.702,0.792,0.0,0.927,40,325454,4,17,47.469,0.724,9.953
LR,2013,1.0,0.892,0.579,0.702,0.0,0.673,33,325454,4,24,27.276,0.019,10.023
MLPC,2013,1.0,1.0,0.561,0.719,0.001,0.618,32,325458,0,25,82.365,1.237,9.681
NB,2013,0.981,0.007,0.772,0.014,0.015,0.008,44,319411,6047,13,1.252,0.043,9.667
SVM-linear,2013,1.0,1.0,0.561,0.719,0.999,0.0,32,325458,0,25,318.908,0.012,9.973
DT,2014,1.0,0.289,0.649,0.4,0.167,0.203,37,325367,91,20,3.833,0.03,9.919
RF,2014,1.0,0.909,0.702,0.792,0.0,0.911,40,325454,4,17,30.499,0.892,9.943
LR,2014,1.0,0.889,0.561,0.688,0.001,0.668,32,325454,4,25,21.0,0.028,9.941
MLPC,2014,1.0,1.0,0.561,0.719,0.001,0.619,32,325458,0,25,88.095,0.813,9.625
NB,2014,0.982,0.007,0.772,0.015,0.016,0.008,44,319623,5835,13,1.069,0.049,9.655
SVM-linear,2014,1.0,1.0,0.561,0.719,0.999,0.0,32,325458,0,25,251.613,0.008,9.958
DT,2015,1.0,0.427,0.93,0.586,0.035,0.407,53,325387,71,4,2.828,0.029,9.94
RF,2015,1.0,0.976,0.702,0.816,0.0,0.93,40,325457,1,17,18.625,0.624,10.22
LR,2015,1.0,0.914,0.561,0.696,0.001,0.668,32,325455,3,25,21.994,0.023,10.062
MLPC,2015,1.0,1.0,0.561,0.719,0.001,0.635,32,325458,0,25,29.523,0.605,9.649
NB,2015,0.984,0.008,0.772,0.016,0.015,0.008,44,320159,5299,13,0.697,0.051,9.705
SVM-linear,2015,1.0,1.0,0.561,0.719,0.999,0.0,32,325458,0,25,161.523,0.007,10.045
DT,2016,1.0,0.483,0.754,0.589,0.123,0.396,43,325412,46,14,1.136,0.026,10.019
RF,2016,1.0,0.955,0.737,0.832,0.0,0.968,42,325456,2,15,8.027,0.62,10.418
LR,2016,1.0,0.914,0.561,0.696,0.0,0.685,32,325455,3,25,8.286,0.021,10.199
MLPC,2016,1.0,1.0,0.561,0.719,0.02,0.724,32,325458,0,25,14.868,0.32,9.492
NB,2016,0.984,0.008,0.754,0.016,0.014,0.008,43,320314,5144,14,0.333,0.048,9.635
SVM-linear,2016,1.0,1.0,0.561,0.719,0.999,0.0,32,325458,0,25,71.968,0.012,9.965
